@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
6884,125,4008,3001,0.571836,0.982166,0.632024,0.982166,0.367976,0.769119,0.777001,1.264047,0
6884,125,4005,3004,0.571408,0.982166,0.632198,0.982166,0.367802,0.769248,0.776787,1.264395,0
6883,126,3992,3017,0.569553,0.982023,0.63292,0.982023,0.36708,0.769738,0.775788,1.265839,0
6883,126,3986,3023,0.568697,0.982023,0.633269,0.982023,0.366731,0.769997,0.77536,1.266538,0
6881,128,3970,3039,0.566415,0.981738,0.634135,0.981738,0.365865,0.770549,0.774076,1.26827,0
6881,128,3964,3045,0.565559,0.981738,0.634486,0.981738,0.365514,0.770808,0.773648,1.268972,0
6881,128,3958,3051,0.564703,0.981738,0.634837,0.981738,0.365163,0.771067,0.77322,1.269674,0
6881,128,3954,3055,0.564132,0.981738,0.635072,0.981738,0.364928,0.77124,0.772935,1.270143,0
6880,129,3949,3060,0.563418,0.981595,0.635331,0.981595,0.364669,0.771387,0.772507,1.270662,0
6879,130,3941,3068,0.562277,0.981452,0.635767,0.981452,0.364233,0.771664,0.771865,1.271534,0
6879,130,3940,3069,0.562134,0.981452,0.635826,0.981452,0.364174,0.771707,0.771793,1.271652,0
6878,131,3936,3073,0.561564,0.98131,0.636027,0.98131,0.363973,0.771812,0.771437,1.272055,0
6878,131,3929,3080,0.560565,0.98131,0.636439,0.98131,0.363561,0.772115,0.770937,1.272879,0
6878,131,3926,3083,0.560137,0.98131,0.636616,0.98131,0.363384,0.772245,0.770723,1.273232,0
6878,131,3925,3084,0.559994,0.98131,0.636675,0.98131,0.363325,0.772288,0.770652,1.27335,0
6878,131,3921,3088,0.559424,0.98131,0.636911,0.98131,0.363089,0.772462,0.770367,1.273822,0
